#,Company,Location_HQ,Country,Continent,Laid_Off,Date_layoffs,Percentage,Company_Size_before_Layoffs,Company_Size_after_layoffs,Industry,Stage,Money_Raised_in_$_mil,Year,lat,lng
627,Zepz,London,United Kingdom,Europe,420.0,2023-05-16,26.0,1615.0,1195.0,Finance,Series E,700,2023,51.50853,-0.12574
628,Lemonade,New York City,USA,North America,45.0,2023-05-16,3.0,1500.0,1455.0,Finance,Post-IPO,481,2023,40.71427,-74.00597
632,Nuro,San Francisco Bay Area,USA,North America,340.0,2023-05-12,30.0,1133.0,793.0,Transportation,Series D,2100,2023,37.38605,-122.08385
634,Happay,Bengaluru,India,Asia,160.0,2023-05-12,35.0,457.0,297.0,Finance,Acquired,21,2023,12.97194,77.59369
639,Cornershop,Santiago,Chile,South America,250.0,2023-05-11,11.0,2273.0,2023.0,Food,Acquired,31,2023,-33.45694,-70.64827
643,Redbubble,Melbourne,Australia,Australia,70.0,2023-05-10,23.0,304.0,234.0,Retail,Post-IPO,55,2023,-37.814,144.96332
644,Similarweb,New York City,USA,North America,60.0,2023-05-10,6.0,1000.0,940.0,Other,Post-IPO,235,2023,40.71427,-74.00597
645,Stack Overflow,New York City,USA,North America,58.0,2023-05-10,10.0,580.0,522.0,Recruiting,Acquired,153,2023,40.71427,-74.00597
646,Akamai,Boston,USA,North America,290.0,2023-05-09,3.0,9667.0,9377.0,Security,Post-IPO,35,2023,42.35843,-71.05977
647,Sonatype,Baltimore,USA,North America,100.0,2023-05-09,14.0,714.0,614.0,Security,Acquired,154,2023,39.29038,-76.61219
648,AudioCodes,Tel Aviv,Israel,Asia,80.0,2023-05-09,6.0,1333.0,1253.0,Other,Post-IPO,91,2023,32.08088,34.78057
651,LinkedIn,San Francisco Bay Area,USA,North America,716.0,2023-05-08,4.0,17900.0,17184.0,Recruiting,Acquired,154,2023,37.36883,-122.03635
656,Twist Bioscience,San Francisco Bay Area,USA,North America,270.0,2023-05-05,25.0,1080.0,810.0,Healthcare,Post-IPO,503,2023,37.77493,-122.41942
657,Meesho,Bengaluru,India,Asia,251.0,2023-05-05,15.0,1673.0,1422.0,Retail,Series F,1100,2023,12.97194,77.59369
660,Shopify,Ottawa,Canada,North America,2300.0,2023-05-04,20.0,11500.0,9200.0,Retail,Post-IPO,122,2023,45.41117,-75.69812
661,Sabre,Dallas,USA,North America,1100.0,2023-05-04,15.0,7333.0,6233.0,Travel,Post-IPO,0,2023,32.78306,-96.80667
663,Autograph,Los Angeles,USA,North America,30.0,2023-05-04,33.0,91.0,61.0,Crypto,Series B,205,2023,34.05223,-118.24368
664,Earnix,Tel Aviv,Israel,Asia,30.0,2023-05-04,10.0,300.0,270.0,Finance,Unknown,100,2023,32.08088,34.78057
665,Karma,Tel Aviv,Israel,Asia,20.0,2023-05-04,28.0,71.0,51.0,Retail,Series A,34,2023,32.08088,34.78057
667,Unity,San Francisco Bay Area,USA,North America,600.0,2023-05-03,8.0,7500.0,6900.0,Other,Post-IPO,1300,2023,37.77493,-122.41942
668,Upwork,San Francisco Bay Area,USA,North America,137.0,2023-05-03,15.0,913.0,776.0,Other,Post-IPO,168,2023,37.77493,-122.41942
670,Brightcove,Boston,USA,North America,70.0,2023-05-03,10.0,700.0,630.0,Marketing,Post-IPO,145,2023,42.35843,-71.05977
671,Healthy.io,Tel Aviv,Israel,Asia,70.0,2023-05-03,33.0,212.0,142.0,Healthcare,Series D,185,2023,32.08088,34.78057
673,TheSkimm,New York City,USA,North America,22.0,2023-05-03,13.0,169.0,147.0,Media,Series C,28,2023,40.71427,-74.00597
675,Bishop Fox,Phoenix,USA,North America,50.0,2023-05-02,13.0,385.0,335.0,Security,Series B,146,2023,33.44838,-112.07404
676,Zoomo,Sydney,Australia,Australia,27.0,2023-05-02,8.0,338.0,311.0,Transportation,Series B,105,2023,-33.86785,151.20732
683,Cue Health,San Diego,USA,North America,326.0,2023-04-28,30.0,1087.0,761.0,Healthcare,Post-IPO,899,2023,32.71571,-117.16472
684,N26,Berlin,Germany,Europe,71.0,2023-04-28,4.0,1775.0,1704.0,Finance,Series E,1700,2023,52.52437,13.41053
688,Dropbox,San Francisco Bay Area,USA,North America,500.0,2023-04-27,16.0,3125.0,2625.0,Other,Post-IPO,1700,2023,37.77493,-122.41942
689,Alteryx,Los Angeles,USA,North America,320.0,2023-04-27,11.0,2909.0,2589.0,Data,Post-IPO,613,2023,34.05223,-118.24368
690,Vroom,New York City,USA,North America,120.0,2023-04-27,11.0,1091.0,971.0,Transportation,Post-IPO,1300,2023,40.71427,-74.00597
691,Greenhouse,New York City,USA,North America,100.0,2023-04-27,12.0,833.0,733.0,Recruiting,Private Equity …,110,2023,40.71427,-74.00597
694,Megaport,Brisbane,Australia,Australia,50.0,2023-04-27,16.0,313.0,263.0,Infrastructure,Post-IPO,98,2023,-27.46794,153.02809
695,Airtasker,Sydney,Australia,Australia,45.0,2023-04-27,20.0,225.0,180.0,Retail,Series C,26,2023,-33.86785,151.20732
696,Chief,New York City,USA,North America,43.0,2023-04-27,14.0,307.0,264.0,Other,Series B,140,2023,40.71427,-74.00597
697,Tickertape,Bengaluru,India,Asia,29.0,2023-04-27,29.0,100.0,71.0,Finance,Seed,5,2023,12.97194,77.59369
701,Teampay,New York City,USA,North America,30.0,2023-04-26,33.0,91.0,61.0,Finance,Series B,79,2023,40.71427,-74.00597
704,Rapid,San Francisco Bay Area,USA,North America,115.0,2023-04-25,50.0,230.0,115.0,Finance,Series D,272,2023,37.77493,-122.41942
705,Rapid,San Francisco Bay Area,USA,North America,70.0,2023-04-25,30.0,233.0,163.0,Finance,Series D,272,2023,37.77493,-122.41942
706,Flink,Berlin,Germany,Europe,8000.0,2023-04-24,40.0,20000.0,12000.0,Food,Series B,1000,2023,52.52437,13.41053
708,BigPanda,San Francisco Bay Area,USA,North America,40.0,2023-04-24,13.0,308.0,268.0,Infrastructure,Series E,337,2023,37.48522,-122.23635
709,Lyft,San Francisco Bay Area,USA,North America,1072.0,2023-04-21,26.0,4123.0,3051.0,Transportation,Post-IPO,4900,2023,37.77493,-122.41942
710,Benchling,San Francisco Bay Area,USA,North America,74.0,2023-04-21,9.0,822.0,748.0,Other,Series F,411,2023,37.77493,-122.41942
712,BuzzFeed,New York City,USA,North America,180.0,2023-04-20,15.0,1200.0,1020.0,Media,Post-IPO,696,2023,40.71427,-74.00597
713,Koo,Bengaluru,India,Asia,78.0,2023-04-20,30.0,260.0,182.0,Consumer,Series B,50,2023,12.97194,77.59369
715,Gloat,New York City,USA,North America,35.0,2023-04-20,12.0,292.0,257.0,HR,Series D,192,2023,40.71427,-74.00597
720,WalkMe,San Francisco Bay Area,USA,North America,112.0,2023-04-19,10.0,1120.0,1008.0,Other,Post-IPO,307,2023,37.77493,-122.41942
721,Opendoor,San Francisco Bay Area,USA,North America,560.0,2023-04-18,22.0,2545.0,1985.0,Real Estate,Post-IPO,1900,2023,37.77493,-122.41942
723,Culture Amp,Melbourne,Australia,Australia,90.0,2023-04-18,9.0,1000.0,910.0,HR,Series F,257,2023,-37.814,144.96332
724,TRM Labs,San Francisco Bay Area,USA,North America,16.0,2023-04-18,9.0,178.0,162.0,Crypto,Series B,149,2023,37.77493,-122.41942
727,Clearcover,Chicago,USA,North America,81.0,2023-04-17,15.0,540.0,459.0,Finance,Series D,304,2023,41.85003,-87.65005
728,Paper,Montreal,Canada,North America,81.0,2023-04-17,3.0,2700.0,2619.0,Education,Series D,389,2023,45.50884,-73.58781
729,Ynsect,Paris,France,Europe,17.0,2023-04-17,25.0,68.0,51.0,Food,Series D,579,2023,48.85341,2.3488
